Timestamp,Rainfall (mm),station_number,station_name,station_no,latitude,longitude,biomass,coal,imports,gas,nuclear,other,hydro,solar,wind
01-Jun-18,156.4,552790,Frenich Farm,552790,56.22694162,-4.56047225,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,61.2,115223,Gairnshiel,115223,57.09199509,-3.165582141,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,53.4,14892,Gargunnock,14892,56.13266077,-4.070571402,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,93.4,301168,Garls Craig,301168,55.36599829,-3.616030256,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,55.6,464495,Garrogie Lodge,464495,57.17006125,-4.442843871,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,61.4,115568,Gatelawbridge,115568,55.25076797,-3.730683565,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,45.8,14916,Gella Bridge,14916,56.77535832,-3.027929218,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,42.4,474984,Gifford Rain Gauge,474984,55.89043578,-2.768969478,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,46.6,15114,Gilston,15114,55.80025456,-2.883463821,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,102.2,15204,Gladhouse Reservoir,15204,55.7784118,-3.117398754,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,89,335745,Glen Ample,335745,56.35457736,-4.269993694,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,101.4,115343,Glen Nevis,115343,56.79923208,-5.067543348,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
